"Global Code","Global Name","Region Code","Region Name","Sub-region Code","Sub-region Name","Intermediate Region Code","Intermediate Region Name","Country or Area","M49 Code","ISO-alpha3 Code","Least Developed Countries (LDC)","Land Locked Developing Countries (LLDC)","Small Island Developing States (SIDS)","Developed / Developing Countries"
"001","Весь мир","002","Африка","202","Африка к югу от Сахары","011","Западная Африка","Гвинея-Бисау","624","GNB","x","","x","Developing"
"001","Весь мир","002","Африка","202","Африка к югу от Сахары","011","Западная Африка","Либерия","430","LBR","x","","","Developing"
"001","Весь мир","002","Африка","202","Африка к югу от Сахары","011","Западная Африка","Мали","466","MLI","x","x","","Developing"
"001","Весь мир","002","Африка","202","Африка к югу от Сахары","011","Западная Африка","Мавритания","478","MRT","x","","","Developing"
"001","Весь мир","002","Африка","202","Африка к югу от Сахары","011","Западная Африка","Нигер","562","NER","x","x","","Developing"
"001","Весь мир","002","Африка","202","Африка к югу от Сахары","011","Западная Африка","Нигерия","566","NGA","","","","Developing"
"001","Весь мир","002","Африка","202","Африка к югу от Сахары","011","Западная Африка","Остров Святой Елены","654","SHN","","","","Developing"
"001","Весь мир","002","Африка","202","Африка к югу от Сахары","011","Западная Африка","Сенегал","686","SEN","x","","","Developing"
"001","Весь мир","002","Африка","202","Африка к югу от Сахары","011","Западная Африка","Сьерра-Леоне","694","SLE","x","","","Developing"
"001","Весь мир","002","Африка","202","Африка к югу от Сахары","011","Западная Африка","Того","768","TGO","x","","","Developing"
"001","Весь мир","019","Северная и Южная Америка","419","Латинская Америка и Карибский бассейн","029","Карибский бассейн","Ангилья","660","AIA","","","x","Developing"
"001","Весь мир","019","Северная и Южная Америка","419","Латинская Америка и Карибский бассейн","029","Карибский бассейн","Антигуа и Барбуда","028","ATG","","","x","Developing"
"001","Весь мир","019","Северная и Южная Америка","419","Латинская Америка и Карибский бассейн","029","Карибский бассейн","Аруба","533","ABW","","","x","Developing"
"001","Весь мир","019","Северная и Южная Америка","419","Латинская Америка и Карибский бассейн","029","Карибский бассейн","Багамские Острова","044","BHS","","","x","Developing"
"001","Весь мир","019","Северная и Южная Америка","419","Латинская Америка и Карибский бассейн","029","Карибский бассейн","Барбадос","052","BRB","","","x","Developing"
"001","Весь мир","019","Северная и Южная Америка","419","Латинская Америка и Карибский бассейн","029","Карибский бассейн","Бонайре, Синт-Эстатиус и Саба","535","BES","","","x","Developing"
"001","Весь мир","019","Северная и Южная Америка","419","Латинская Америка и Карибский бассейн","029","Карибский бассейн","Британские Виргинские острова","092","VGB","","","x","Developing"
"001","Весь мир","019","Северная и Южная Америка","419","Латинская Америка и Карибский бассейн","029","Карибский бассейн","Кайман острова","136","CYM","","","","Developing"
"001","Весь мир","019","Северная и Южная Америка","419","Латинская Америка и Карибский бассейн","029","Карибский бассейн","Куба","192","CUB","","","x","Developing"
"001","Весь мир","019","Северная и Южная Америка","419","Латинская Америка и Карибский бассейн","029","Карибский бассейн","Кюрасао","531","CUW","","","x","Developing"
"001","Весь мир","019","Северная и Южная Америка","419","Латинская Америка и Карибский бассейн","029","Карибский бассейн","Доминика","212","DMA","","","x","Developing"
"001","Весь мир","019","Северная и Южная Америка","419","Латинская Америка и Карибский бассейн","029","Карибский бассейн","Доминиканская Республика","214","DOM","","","x","Developing"
"001","Весь мир","019","Северная и Южная Америка","419","Латинская Америка и Карибский бассейн","029","Карибский бассейн","Гренада","308","GRD","","","x","Developing"
"001","Весь мир","019","Северная и Южная Америка","419","Латинская Америка и Карибский бассейн","029","Карибский бассейн","Гваделупа","312","GLP","","","","Developing"
"001","Весь мир","019","Северная и Южная Америка","419","Латинская Америка и Карибский бассейн","029","Карибский бассейн","Гаити","332","HTI","x","","x","Developing"
"001","Весь мир","019","Северная и Южная Америка","419","Латинская Америка и Карибский бассейн","029","Карибский бассейн","Ямайка","388","JAM","","","x","Developing"
"001","Весь мир","019","Северная и Южная Америка","419","Латинская Америка и Карибский бассейн","029","Карибский бассейн","Мартиника","474","MTQ","","","","Developing"
"001","Весь мир","019","Северная и Южная Америка","419","Латинская Америка и Карибский бассейн","029","Карибский бассейн","Монтсеррат","500","MSR","","","x","Developing"
"001","Весь мир","019","Северная и Южная Америка","419","Латинская Америка и Карибский бассейн","029","Карибский бассейн","Пуэрто-Рико","630","PRI","","","x","Developing"
"001","Весь мир","019","Северная и Южная Америка","419","Латинская Америка и Карибский бассейн","029","Карибский бассейн","Сен-Бартелеми","652","BLM","","","","Developing"
"001","Весь мир","019","Северная и Южная Америка","419","Латинская Америка и Карибский бассейн","029","Карибский бассейн","Сент-Китс и Невис","659","KNA","","","x","Developing"
"001","Весь мир","019","Северная и Южная Америка","419","Латинская Америка и Карибский бассейн","029","Карибский бассейн","Сент-Люсия","662","LCA","","","x","Developing"
"001","Весь мир","019","Северная и Южная Америка","419","Латинская Америка и Карибский бассейн","029","Карибский бассейн","Сен-Мартен (французская часть)","663","MAF","","","","Developing"
"001","Весь мир","019","Северная и Южная Америка","419","Латинская Америка и Карибский бассейн","029","Карибский бассейн","Сент-Винсент и Гренадины","670","VCT","","","x","Developing"
