"ISO3","country","region","sub.region","intermediate.region","region.code","sub.region.code","intermediate.region.code","who.region","who.region.mortality","continent","REGION","GEO3major","GEO3","GLOCAF","Stern","SRESmajor","SRES","GBD"
"MTQ","Martinique","Americas","Latin America and the Caribbean","Caribbean",19,419,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MRT","Mauritania","Africa","Sub-Saharan Africa","Western Africa",2,202,11,"AFR","AFR.D","Africa","Africa","Africa","Western Africa","Sub-Sarahan Africa","West Africa","ALM","Sub-Saharan Africa (AFR)","Sub-Saharan Africa, West"
"MUS","Mauritius","Africa","Sub-Saharan Africa","Eastern Africa",2,202,14,"AFR","AFR.D","Africa","Africa","Africa","Western Indian Ocean","Sub-Sarahan Africa","South+E Africa","ALM","Sub-Saharan Africa (AFR)","Asia, Southeast"
"MYT","Mayotte","Africa","Sub-Saharan Africa","Eastern Africa",2,202,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MEX","Mexico","Americas","Latin America and the Caribbean","Central America",19,419,13,"AMR","AMR.B","South America","South America","Latin America and the Caribbean","Meso-America","Mexico","Central America","ALM","Latin America and the Caribbean (LAM)","Latin America, Central"
"FSM","Micronesia (Federated States of)","Oceania","Micronesia",NA,9,57,NA,"WPR","WPR.B","Australia","Australia","Asia and the Pacific","South Pacific","Oceania","Australasia","ASIA","Other Pacific Asia (PAS)","Oceania"
"MDA","Moldova (Republic of)","Europe","Eastern Europe",NA,150,151,NA,"EUR","EUR.C","Eurasia","Europe","Europe","Eastern Europe","FSU","Europe","REF","Newly Independent States of FSU (FSU)","Europe, Eastern"
"MCO","Monaco","Europe","Western Europe",NA,150,155,NA,"EUR","EUR.A","Eurasia","Europe","Europe","Western Europe","Europe","Europe","OECD90","Western Europe (WEU)","Europe, Western"
"MNG","Mongolia","Asia","Eastern Asia",NA,142,30,NA,"WPR","WPR.B","Eurasia","Asia","Asia and the Pacific","NW Pacific and East Asia","China","East Asia","ASIA","Centrally planned Asia and China (CPA)","Asia, Central"
"MNE","Montenegro","Europe","Southern Europe",NA,150,39,NA,NA,NA,"Eurasia","Europe","Europe","Central Europe","Europe","Europe","REF","Central and Eastern Europe (EEU)","Europe, Central"
"MSR","Montserrat","Americas","Latin America and the Caribbean","Caribbean",19,419,29,NA,NA,"South America","South America","Latin America and the Caribbean","Caribbean","Rest of Central Am","Caribbean","ALM","Latin America and the Caribbean (LAM)","Caribbean"
"MAR","Morocco","Africa","Northern Africa",NA,2,15,NA,"EMR","EMR.D","Africa","Africa","Africa","North Africa","North Africa","North Africa","ALM","Middle East and North Africa (MEA)","North Africa/Middle East"
"MOZ","Mozambique","Africa","Sub-Saharan Africa","Eastern Africa",2,202,14,"AFR","AFR.E","Africa","Africa","Africa","Southern Africa","Sub-Sarahan Africa","South+E Africa","ALM","Sub-Saharan Africa (AFR)","Sub-Saharan Africa, East"
"MMR","Myanmar","Asia","South-eastern Asia",NA,142,35,NA,"SEAR","SEAR.D","Eurasia","Asia","Asia and the Pacific","Southeast Asia","South East Asia","East Asia","ASIA","Other Pacific Asia (PAS)","Asia, Southeast"
"NAM","Namibia","Africa","Sub-Saharan Africa","Southern Africa",2,202,18,"AFR","AFR.E","Africa","Africa","Africa","Southern Africa","Sub-Sarahan Africa","South+E Africa","ALM","Sub-Saharan Africa (AFR)","Sub-Saharan Africa, Southern"
"NRU","Nauru","Oceania","Micronesia",NA,9,57,NA,"WPR","WPR.B","Australia","Australia","Asia and the Pacific","South Pacific","Oceania","Australasia","ASIA","Other Pacific Asia (PAS)","Oceania"
"NPL","Nepal","Asia","Southern Asia",NA,142,34,NA,"SEAR","SEAR.D","Eurasia","Asia","Asia and the Pacific","South Asia","Rest of South Asia","South Asia","ASIA","South Asia (SAS)","Asia, South"
"NLD","Netherlands","Europe","Western Europe",NA,150,155,NA,"EUR","EUR.A","Eurasia","Europe","Europe","Western Europe","Europe","Europe","OECD90","Western Europe (WEU)","Europe, Western"
"NCL","New Caledonia","Oceania","Melanesia",NA,9,54,NA,NA,NA,"Australia","Australia","Asia and the Pacific","South Pacific","Oceania","Australasia","ASIA","Other Pacific Asia (PAS)","Oceania"
"NZL","New Zealand","Oceania","Australia and New Zealand",NA,9,53,NA,"WPR","WPR.A","Australia","Australia","Asia and the Pacific","Australia and New Zealand","Oceania","Australasia","OECD90","Pacific OECD (PAO)","Australasia"
"NIC","Nicaragua","Americas","Latin America and the Caribbean","Central America",19,419,13,"AMR","AMR.D","South America","South America","Latin America and the Caribbean","Meso-America","Rest of Central Am","Central America","ALM","Latin America and the Caribbean (LAM)","Latin America, Central"
"NER","Niger","Africa","Sub-Saharan Africa","Western Africa",2,202,11,"AFR","AFR.D","Africa","Africa","Africa","Western Africa","Sub-Sarahan Africa","West Africa","ALM","Sub-Saharan Africa (AFR)","Sub-Saharan Africa, West"
"NGA","Nigeria","Africa","Sub-Saharan Africa","Western Africa",2,202,11,"AFR","AFR.D","Africa","Africa","Africa","Western Africa","Sub-Sarahan Africa","West Africa","ALM","Sub-Saharan Africa (AFR)","Sub-Saharan Africa, West"
"NIU","Niue","Oceania","Polynesia",NA,9,61,NA,"WPR","WPR.B","Australia","Australia","Asia and the Pacific","South Pacific","Oceania","Australasia","ASIA","Other Pacific Asia (PAS)","Oceania"
"NFK","Norfolk Island","Oceania","Australia and New Zealand",NA,9,53,NA,NA,NA,"Australia","Australia","Asia and the Pacific","South Pacific","Oceania","Australasia","ASIA","Other Pacific Asia (PAS)","Oceania"
"MNP","Northern Mariana Islands","Oceania","Micronesia",NA,9,57,NA,NA,NA,"Australia","Australia","Asia and the Pacific","South Pacific","Oceania","Australasia","ASIA","Other Pacific Asia (PAS)","Oceania"
"NOR","Norway","Europe","Northern Europe",NA,150,154,NA,"EUR","EUR.A","Eurasia","Europe","Europe","Western Europe","Europe","Europe","OECD90","Western Europe (WEU)","Europe, Western"
"OMN","Oman","Asia","Western Asia",NA,142,145,NA,"EMR","EMR.B","Eurasia","Asia","West Asia","Arabian Peninsula","Middle East","West Asia","ALM","Middle East and North Africa (MEA)","North Africa/Middle East"
"PAK","Pakistan","Asia","Southern Asia",NA,142,34,NA,"EMR","EMR.D","Eurasia","Asia","Asia and the Pacific","South Asia","Rest of South Asia","South Asia","ASIA","South Asia (SAS)","Asia, South"
"PLW","Palau","Oceania","Micronesia",NA,9,57,NA,"WPR","WPR.B","Australia","Australia","Asia and the Pacific","South Pacific","Oceania","Australasia","ASIA","Other Pacific Asia (PAS)","Oceania"
"PSE","Palestine, State of","Asia","Western Asia",NA,142,145,NA,NA,NA,"Eurasia","Europe","Europe","Western Europe","Europe","Europe","ALM","Middle East and North Africa (MEA)","Europe, Western"
"PAN","Panama","Americas","Latin America and the Caribbean","Central America",19,419,13,"AMR","AMR.B","South America","South America","Latin America and the Caribbean","Meso-America","Rest of Central Am","Central America","ALM","Latin America and the Caribbean (LAM)","Latin America, Central"
"PNG","Papua New Guinea","Oceania","Melanesia",NA,9,54,NA,"WPR","WPR.B","Australia","Australia","Asia and the Pacific","South Pacific","Oceania","Australasia","ASIA","Other Pacific Asia (PAS)","Oceania"
"PRY","Paraguay","Americas","Latin America and the Caribbean","South America",19,419,5,"AMR","AMR.B","South America","South America","Latin America and the Caribbean","South America","Rest of South Am","South America","ALM","Latin America and the Caribbean (LAM)","Latin America, Tropical"
"PER","Peru","Americas","Latin America and the Caribbean","South America",19,419,5,"AMR","AMR.D","South America","South America","Latin America and the Caribbean","South America","Rest of South Am","South America","ALM","Latin America and the Caribbean (LAM)","Latin America, Andean"
"PHL","Philippines","Asia","South-eastern Asia",NA,142,35,NA,"WPR","WPR.B","Eurasia","Asia","Asia and the Pacific","Southeast Asia","South East Asia","East Asia","ASIA","Other Pacific Asia (PAS)","Asia, Southeast"
"PCN","Pitcairn","Oceania","Polynesia",NA,9,61,NA,NA,NA,"Australia","Australia","Asia and the Pacific","South Pacific","Oceania","Australasia","ASIA","Other Pacific Asia (PAS)","Oceania"
"POL","Poland","Europe","Eastern Europe",NA,150,151,NA,"EUR","EUR.B","Eurasia","Europe","Europe","Central Europe","Europe","Europe","REF","Central and Eastern Europe (EEU)","Europe, Central"
"PRT","Portugal","Europe","Southern Europe",NA,150,39,NA,"EUR","EUR.A","Eurasia","Europe","Europe","Western Europe","Europe","Europe","OECD90","Western Europe (WEU)","Europe, Western"
"PRI","Puerto Rico","Americas","Latin America and the Caribbean","Caribbean",19,419,29,NA,NA,"South America","South America","Latin America and the Caribbean","Caribbean","Rest of Central Am","Caribbean","OECD90","North America (NAM)","Caribbean"
"QAT","Qatar","Asia","Western Asia",NA,142,145,NA,"EMR","EMR.B","Eurasia","Asia","West Asia","Arabian Peninsula","Middle East","West Asia","ALM","Middle East and North Africa (MEA)","North Africa/Middle East"
"REU","Reunion","Africa","Sub-Saharan Africa","Eastern Africa",2,202,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ROU","Romania","Europe","Eastern Europe",NA,150,151,NA,"EUR","EUR.B","Eurasia","Europe","Europe","Central Europe","Europe","Europe","REF","Central and Eastern Europe (EEU)","Europe, Central"
"RUS","Russian Federation","Europe","Eastern Europe",NA,150,151,NA,"EUR","EUR.C","Eurasia","Europe","Europe","Eastern Europe","Russia","Europe","REF","Newly Independent States of FSU (FSU)","Europe, Eastern"
"RWA","Rwanda","Africa","Sub-Saharan Africa","Eastern Africa",2,202,14,"AFR","AFR.E","Africa","Africa","Africa","Eastern Africa","Sub-Sarahan Africa","South+E Africa","ALM","Sub-Saharan Africa (AFR)","Sub-Saharan Africa, East"
"BLM","Saint Barthelemy","Americas","Latin America and the Caribbean","Caribbean",19,419,29,NA,NA,"Eurasia","Europe","Europe","Western Europe","Europe","Europe","OECD90","Western Europe (WEU)","Europe, Western"
"SHN","Saint Helena, Ascension and Tristan da Cunha","Africa","Sub-Saharan Africa","Western Africa",2,202,11,NA,NA,"Africa","Africa","Africa","Southern Africa","Sub-Sarahan Africa","South+E Africa","ALM","Sub-Saharan Africa (AFR)","Sub-Saharan Africa, Southern"
"KNA","Saint Kitts and Nevis","Americas","Latin America and the Caribbean","Caribbean",19,419,29,"AMR","AMR.B","South America","South America","Latin America and the Caribbean","Caribbean","Rest of Central Am","Caribbean","ALM","Latin America and the Caribbean (LAM)","Caribbean"
"LCA","Saint Lucia","Americas","Latin America and the Caribbean","Caribbean",19,419,29,"AMR","AMR.B","South America","South America","Latin America and the Caribbean","Caribbean","Rest of Central Am","Caribbean","ALM","Latin America and the Caribbean (LAM)","Caribbean"
"MAF","Saint Martin (French part)","Americas","Latin America and the Caribbean","Caribbean",19,419,29,NA,NA,"Eurasia","Europe","Europe","Western Europe","Europe","Europe","OECD90","Western Europe (WEU)","Europe, Western"
"SPM","Saint Pierre and Miquelon","Americas","Northern America",NA,19,21,NA,NA,NA,"North America","North America","North America","Canada","Canada","North America","OECD90","North America (NAM)","North America, High Income"
