"ISO3","ADMIN","REGION","continent","GEO3major","GEO3","IMAGE24","GLOCAF","Stern","SRESmajor","SRES","GBD","AVOIDnumeric","AVOIDname","LDC","SID","LLDC"
"MCO","Monaco","Europe","Eurasia","Europe","Western Europe","Western Europe","Europe","Europe","OECD90","Western Europe (WEU)","Europe, Western",25,"Europe","other","other","other"
"MNG","Mongolia","Asia","Eurasia","Asia and the Pacific","NW Pacific and East Asia","China+","China","East Asia","ASIA","Centrally planned Asia and China (CPA)","Asia, Central",20,"Rest of East Asia","other","other","LLDC"
"MNE","Montenegro","Europe","Eurasia","Europe","Central Europe","Central Europe","Europe","Europe","REF","Central and Eastern Europe (EEU)","Europe, Central",25,"Europe","other","other","other"
"MSR","Montserrat","South America","South America","Latin America and the Caribbean","Caribbean","Rest Central America","Rest of Central Am","Caribbean","ALM","Latin America and the Caribbean (LAM)","Caribbean",28,"Caribbean","other","SID","other"
"MAR","Morocco","Africa","Africa","Africa","North Africa","Northern Africa","North Africa","North Africa","ALM","Middle East and North Africa (MEA)","North Africa/Middle East",22,"North Africa","other","other","other"
"MOZ","Mozambique","Africa","Africa","Africa","Southern Africa","Southern Africa","Sub-Sarahan Africa","South+E Africa","ALM","Sub-Saharan Africa (AFR)","Sub-Saharan Africa, East",24,"Southern and East Africa","LDC","other","other"
"MMR","Myanmar","Asia","Eurasia","Asia and the Pacific","Southeast Asia","Southeastern Asia","South East Asia","East Asia","ASIA","Other Pacific Asia (PAS)","Asia, Southeast",20,"Rest of East Asia","LDC","other","other"
"NAM","Namibia","Africa","Africa","Africa","Southern Africa","Southern Africa","Sub-Sarahan Africa","South+E Africa","ALM","Sub-Saharan Africa (AFR)","Sub-Saharan Africa, Southern",24,"Southern and East Africa","other","other","other"
"NRU","Nauru","Australia","Australia","Asia and the Pacific","South Pacific","Oceania","Oceania","Australasia","ASIA","Other Pacific Asia (PAS)","Oceania",29,"Rest of Australasia","other","SID","other"
"NPL","Nepal","Asia","Eurasia","Asia and the Pacific","South Asia","India+","Rest of South Asia","South Asia","ASIA","South Asia (SAS)","Asia, South",19,"Rest of South Asia","LDC","other","LLDC"
"NLD","Netherlands","Europe","Eurasia","Europe","Western Europe","Western Europe","Europe","Europe","OECD90","Western Europe (WEU)","Europe, Western",25,"Europe","other","other","other"
"NCL","New Caledonia","Australia","Australia","Asia and the Pacific","South Pacific","Oceania","Oceania","Australasia","ASIA","Other Pacific Asia (PAS)","Oceania",29,"Rest of Australasia","other","SID","other"
"NZL","New Zealand","Australia","Australia","Asia and the Pacific","Australia and New Zealand","Oceania","Oceania","Australasia","OECD90","Pacific OECD (PAO)","Australasia",29,"Rest of Australasia","other","other","other"
"NIC","Nicaragua","South America","South America","Latin America and the Caribbean","Meso-America","Rest Central America","Rest of Central Am","Central America","ALM","Latin America and the Caribbean (LAM)","Latin America, Central",27,"Central America","other","other","other"
"NER","Niger","Africa","Africa","Africa","Western Africa","Western Africa","Sub-Sarahan Africa","West Africa","ALM","Sub-Saharan Africa (AFR)","Sub-Saharan Africa, West",23,"West Africa","LDC","other","LLDC"
"NGA","Nigeria","Africa","Africa","Africa","Western Africa","Western Africa","Sub-Sarahan Africa","West Africa","ALM","Sub-Saharan Africa (AFR)","Sub-Saharan Africa, West",23,"West Africa","other","other","other"
"NIU","Niue","Australia","Australia","Asia and the Pacific","South Pacific","Oceania","Oceania","Australasia","ASIA","Other Pacific Asia (PAS)","Oceania",29,"Rest of Australasia","other","SID","other"
"NFK","Norfolk Island","Australia","Australia","Asia and the Pacific","South Pacific","Oceania","Oceania","Australasia","ASIA","Other Pacific Asia (PAS)","Oceania",29,"Rest of Australasia","other","other","other"
"PRK","North Korea","Asia","Eurasia","Asia and the Pacific","NW Pacific and East Asia","Korea","China","East Asia","ASIA","Centrally planned Asia and China (CPA)","Asia, East",20,"Rest of East Asia","other","other","other"
"CYN","Northern Cyprus","Europe","Eurasia","Europe","Central Europe","Central Europe","Europe","Europe","OECD90","Western Europe (WEU)","Europe, Western",25,"Europe","other","other","other"
"MNP","Northern Mariana Islands","Australia","Australia","Asia and the Pacific","South Pacific","Oceania","Oceania","Australasia","ASIA","Other Pacific Asia (PAS)","Oceania",29,"Rest of Australasia","other","SID","other"
"NOR","Norway","Europe","Eurasia","Europe","Western Europe","Western Europe","Europe","Europe","OECD90","Western Europe (WEU)","Europe, Western",25,"Europe","other","other","other"
"OMN","Oman","Asia","Eurasia","West Asia","Arabian Peninsula","Middle East","Middle East","West Asia","ALM","Middle East and North Africa (MEA)","North Africa/Middle East",30,"Middle East","other","other","other"
"PAK","Pakistan","Asia","Eurasia","Asia and the Pacific","South Asia","India+","Rest of South Asia","South Asia","ASIA","South Asia (SAS)","Asia, South",19,"Rest of South Asia","other","other","other"
"PLW","Palau","Australia","Australia","Asia and the Pacific","South Pacific","Oceania","Oceania","Australasia","ASIA","Other Pacific Asia (PAS)","Oceania",29,"Rest of Australasia","other","SID","other"
"PAN","Panama","South America","South America","Latin America and the Caribbean","Meso-America","Rest Central America","Rest of Central Am","Central America","ALM","Latin America and the Caribbean (LAM)","Latin America, Central",27,"Central America","other","other","other"
"PNG","Papua New Guinea","Australia","Australia","Asia and the Pacific","South Pacific","Oceania","Oceania","Australasia","ASIA","Other Pacific Asia (PAS)","Oceania",29,"Rest of Australasia","other","SID","other"
"PRY","Paraguay","South America","South America","Latin America and the Caribbean","South America","Rest South America","Rest of South Am","South America","ALM","Latin America and the Caribbean (LAM)","Latin America, Tropical",26,"South America","other","other","LLDC"
"PER","Peru","South America","South America","Latin America and the Caribbean","South America","Rest South America","Rest of South Am","South America","ALM","Latin America and the Caribbean (LAM)","Latin America, Andean",26,"South America","other","other","other"
"PHL","Philippines","Asia","Eurasia","Asia and the Pacific","Southeast Asia","Southeastern Asia","South East Asia","East Asia","ASIA","Other Pacific Asia (PAS)","Asia, Southeast",20,"Rest of East Asia","other","other","other"
"PCN","Pitcairn Islands","Australia","Australia","Asia and the Pacific","South Pacific","Oceania","Oceania","Australasia","ASIA","Other Pacific Asia (PAS)","Oceania",29,"Rest of Australasia","other","other","other"
"POL","Poland","Europe","Eurasia","Europe","Central Europe","Central Europe","Europe","Europe","REF","Central and Eastern Europe (EEU)","Europe, Central",17,"Poland","other","other","other"
"PRT","Portugal","Europe","Eurasia","Europe","Western Europe","Western Europe","Europe","Europe","OECD90","Western Europe (WEU)","Europe, Western",25,"Europe","other","other","other"
"PRI","Puerto Rico","South America","South America","Latin America and the Caribbean","Caribbean","Rest Central America","Rest of Central Am","Caribbean","OECD90","North America (NAM)","Caribbean",28,"Caribbean","other","SID","other"
"QAT","Qatar","Asia","Eurasia","West Asia","Arabian Peninsula","Middle East","Middle East","West Asia","ALM","Middle East and North Africa (MEA)","North Africa/Middle East",30,"Middle East","other","other","other"
"SRB","Republic of Serbia","Europe","Eurasia","Europe","Central Europe","Central Europe","Europe","Europe","REF","Central and Eastern Europe (EEU)","Europe, Central",25,"Europe","other","other","other"
"COG","Republic of the Congo","Africa","Africa","Africa","Central Africa","Western Africa","Sub-Sarahan Africa","West Africa","ALM","Sub-Saharan Africa (AFR)","Sub-Saharan Africa, Central",23,"West Africa","other","other","other"
"ROU","Romania","Europe","Eurasia","Europe","Central Europe","Central Europe","Europe","Europe","REF","Central and Eastern Europe (EEU)","Europe, Central",25,"Europe","other","other","other"
"RUS","Russia","Europe","Eurasia","Europe","Eastern Europe","Russia+","Russia","Europe","REF","Newly Independent States of FSU (FSU)","Europe, Eastern",3,"Russia","other","other","other"
"RWA","Rwanda","Africa","Africa","Africa","Eastern Africa","Eastern Africa","Sub-Sarahan Africa","South+E Africa","ALM","Sub-Saharan Africa (AFR)","Sub-Saharan Africa, East",24,"Southern and East Africa","LDC","other","LLDC"
"BLM","Saint Barthelemy","Europe","Eurasia","Europe","Western Europe","Western Europe","Europe","Europe","OECD90","Western Europe (WEU)","Europe, Western",14,"France","other","other","other"
"SHN","Saint Helena","Africa","Africa","Africa","Southern Africa","Southern Africa","Sub-Sarahan Africa","South+E Africa","ALM","Sub-Saharan Africa (AFR)","Sub-Saharan Africa, Southern",24,"Southern and East Africa","other","other","other"
"KNA","Saint Kitts and Nevis","South America","South America","Latin America and the Caribbean","Caribbean","Rest Central America","Rest of Central Am","Caribbean","ALM","Latin America and the Caribbean (LAM)","Caribbean",28,"Caribbean","other","SID","other"
"LCA","Saint Lucia","South America","South America","Latin America and the Caribbean","Caribbean","Rest Central America","Rest of Central Am","Caribbean","ALM","Latin America and the Caribbean (LAM)","Caribbean",28,"Caribbean","other","SID","other"
"MAF","Saint Martin","Europe","Eurasia","Europe","Western Europe","Western Europe","Europe","Europe","OECD90","Western Europe (WEU)","Europe, Western",14,"France","other","other","other"
"SPM","Saint Pierre and Miquelon","North America","North America","North America","Canada","USA","Canada","North America","OECD90","North America (NAM)","North America, High Income",9,"Canada","other","other","other"
"VCT","Saint Vincent and the Grenadines","South America","South America","Latin America and the Caribbean","Caribbean","Rest Central America","Rest of Central Am","Caribbean","ALM","Latin America and the Caribbean (LAM)","Caribbean",28,"Caribbean","other","SID","other"
"WSM","Samoa","Australia","Australia","Asia and the Pacific","South Pacific","Oceania","Oceania","Australasia","ASIA","Other Pacific Asia (PAS)","Oceania",29,"Rest of Australasia","LDC","SID","other"
"SMR","San Marino","Europe","Eurasia","Europe","Western Europe","Western Europe","Europe","Europe","OECD90","Western Europe (WEU)","Europe, Western",15,"Italy","other","other","other"
"STP","Sao Tome and Principe","Africa","Africa","Africa","Central Africa","Western Africa","Sub-Sarahan Africa","West Africa","ALM","Sub-Saharan Africa (AFR)","Sub-Saharan Africa, West",23,"West Africa","LDC","SID","other"
"SAU","Saudi Arabia","Asia","Eurasia","West Asia","Arabian Peninsula","Middle East","Middle East","West Asia","ALM","Middle East and North Africa (MEA)","North Africa/Middle East",18,"Saudi Arabia","other","other","other"
"SEN","Senegal","Africa","Africa","Africa","Western Africa","Western Africa","Sub-Sarahan Africa","West Africa","ALM","Sub-Saharan Africa (AFR)","Sub-Saharan Africa, West",23,"West Africa","LDC","other","other"
"SYC","Seychelles","Africa","Africa","Africa","Western Indian Ocean","Eastern Africa","Sub-Sarahan Africa","South+E Africa","ALM","Sub-Saharan Africa (AFR)","Asia, Southeast",24,"Southern and East Africa","other","SID","other"
"KAS","Siachen Glacier","Asia","Eurasia","Asia and the Pacific","South Asia","India+","India","South Asia","ASIA","South Asia (SAS)","Asia, South",6,"India","other","other","other"
"SLE","Sierra Leone","Africa","Africa","Africa","Western Africa","Western Africa","Sub-Sarahan Africa","West Africa","ALM","Sub-Saharan Africa (AFR)","Sub-Saharan Africa, West",23,"West Africa","LDC","other","other"
"SGP","Singapore","Asia","Eurasia","Asia and the Pacific","Southeast Asia","Southeastern Asia","South East Asia","East Asia","ASIA","Other Pacific Asia (PAS)","Asia Pacific, High Income",20,"Rest of East Asia","other","SID","other"
"SXM","Sint Maarten","Europe","Eurasia","Europe","Western Europe","Western Europe","Europe","Europe","OECD90","Western Europe (WEU)","Europe, Western",25,"Europe","other","other","other"
"SVK","Slovakia","Europe","Eurasia","Europe","Central Europe","Central Europe","Europe","Europe","REF","Central and Eastern Europe (EEU)","Europe, Central",25,"Europe","other","other","other"
"SVN","Slovenia","Europe","Eurasia","Europe","Central Europe","Central Europe","Europe","Europe","REF","Central and Eastern Europe (EEU)","Europe, Central",25,"Europe","other","other","other"
"SLB","Solomon Islands","Australia","Australia","Asia and the Pacific","South Pacific","Oceania","Oceania","Australasia","ASIA","Other Pacific Asia (PAS)","Oceania",29,"Rest of Australasia","LDC","SID","other"
"SOM","Somalia","Africa","Africa","Africa","Eastern Africa","Eastern Africa","Sub-Sarahan Africa","South+E Africa","ALM","Sub-Saharan Africa (AFR)","Sub-Saharan Africa, East",24,"Southern and East Africa","LDC","other","other"
"SOL","Somaliland","Africa","Africa","Africa","Eastern Africa","Eastern Africa","Sub-Sarahan Africa","South+E Africa","ALM","Sub-Saharan Africa (AFR)","Sub-Saharan Africa, East",24,"Southern and East Africa","other","other","other"
"ZAF","South Africa","Africa","Africa","Africa","Southern Africa","Southern Africa","Sub-Sarahan Africa","South+E Africa","ALM","Sub-Saharan Africa (AFR)","Sub-Saharan Africa, Southern",5,"South Africa","other","other","other"
"SGS","South Georgia and South Sandwich Islands","Europe","Eurasia","Europe","Western Europe","Western Europe","Europe","Europe","OECD90","Western Europe (WEU)","Europe, Western",13,"UK","other","other","other"
"KOR","South Korea","Asia","Eurasia","Asia and the Pacific","NW Pacific and East Asia","Korea","China","East Asia","ASIA","Other Pacific Asia (PAS)","Asia Pacific, High Income",12,"South Korea","other","other","other"
"SDS","South Sudan","Africa","Africa","Africa","North Africa","Eastern Africa","North Africa","North Africa","ALM","Middle East and North Africa (MEA)","Sub-Saharan Africa, East",22,"North Africa","LDC","other","other"
"ESP","Spain","Europe","Eurasia","Europe","Western Europe","Western Europe","Europe","Europe","OECD90","Western Europe (WEU)","Europe, Western",25,"Europe","other","other","other"
"LKA","Sri Lanka","Asia","Eurasia","Asia and the Pacific","South Asia","India+","Rest of South Asia","South Asia","ASIA","South Asia (SAS)","Asia, Southeast",19,"Rest of South Asia","other","other","other"
"SDN","Sudan","Africa","Africa","Africa","North Africa","Eastern Africa","North Africa","North Africa","ALM","Middle East and North Africa (MEA)","Sub-Saharan Africa, East",22,"North Africa","LDC","other","other"
"SUR","Suriname","South America","South America","Latin America and the Caribbean","South America","Rest South America","Rest of South Am","South America","ALM","Latin America and the Caribbean (LAM)","Caribbean",26,"South America","other","SID","other"
"SWZ","Swaziland","Africa","Africa","Africa","Southern Africa","Southern Africa","Sub-Sarahan Africa","South+E Africa","ALM","Sub-Saharan Africa (AFR)","Sub-Saharan Africa, Southern",24,"Southern and East Africa","other","other","LLDC"
"SWE","Sweden","Europe","Eurasia","Europe","Western Europe","Western Europe","Europe","Europe","OECD90","Western Europe (WEU)","Europe, Western",25,"Europe","other","other","other"
"CHE","Switzerland","Europe","Eurasia","Europe","Western Europe","Western Europe","Europe","Europe","OECD90","Western Europe (WEU)","Europe, Western",25,"Europe","other","other","other"
"SYR","Syria","Asia","Eurasia","West Asia","Mashriq","Middle East","Middle East","West Asia","ALM","Middle East and North Africa (MEA)","North Africa/Middle East",30,"Middle East","other","other","other"
"TWN","Taiwan","Asia","Eurasia","Asia and the Pacific","NW Pacific and East Asia","China+","China","East Asia","ASIA","Other Pacific Asia (PAS)","Asia, East",20,"Rest of East Asia","other","other","other"
"TJK","Tajikistan","Asia","Eurasia","Asia and the Pacific","Central Asia","Asia-Stan","FSU","Central Asia","REF","Newly Independent States of FSU (FSU)","Asia, Central",21,"Rest of Central Asia","other","other","LLDC"
"THA","Thailand","Asia","Eurasia","Asia and the Pacific","Southeast Asia","Southeastern Asia","South East Asia","East Asia","ASIA","Other Pacific Asia (PAS)","Asia, Southeast",20,"Rest of East Asia","other","other","other"
"BHS","The Bahamas","South America","South America","Latin America and the Caribbean","Caribbean","Rest Central America","Rest of Central Am","Caribbean","ALM","Latin America and the Caribbean (LAM)","Caribbean",28,"Caribbean","other","SID","other"
"TGO","Togo","Africa","Africa","Africa","Western Africa","Western Africa","Sub-Sarahan Africa","West Africa","ALM","Sub-Saharan Africa (AFR)","Sub-Saharan Africa, West",23,"West Africa","LDC","other","other"
"TON","Tonga","Australia","Australia","Asia and the Pacific","South Pacific","Oceania","Oceania","Australasia","ASIA","Other Pacific Asia (PAS)","Oceania",29,"Rest of Australasia","other","SID","other"
"TTO","Trinidad and Tobago","South America","South America","Latin America and the Caribbean","Caribbean","Rest Central America","Rest of Central Am","Caribbean","ALM","Latin America and the Caribbean (LAM)","Caribbean",28,"Caribbean","other","SID","other"
"TUN","Tunisia","Africa","Africa","Africa","North Africa","Northern Africa","North Africa","North Africa","ALM","Middle East and North Africa (MEA)","North Africa/Middle East",22,"North Africa","other","other","other"
"TUR","Turkey","Europe","Eurasia","Europe","Central Europe","Turkey","Turkey","Europe","OECD90","Western Europe (WEU)","North Africa/Middle East",25,"Europe","other","other","other"
"TKM","Turkmenistan","Asia","Eurasia","Asia and the Pacific","Central Asia","Asia-Stan","FSU","Central Asia","REF","Newly Independent States of FSU (FSU)","Asia, Central",21,"Rest of Central Asia","other","other","LLDC"
"TCA","Turks and Caicos Islands","South America","South America","Latin America and the Caribbean","Caribbean","Rest Central America","Rest of Central Am","Caribbean","ALM","Latin America and the Caribbean (LAM)","Caribbean",28,"Caribbean","other","other","other"
"TUV","Tuvalu","Australia","Australia","Asia and the Pacific","South Pacific","Oceania","Oceania","Australasia","ASIA","Other Pacific Asia (PAS)","Oceania",29,"Rest of Australasia","LDC","SID","other"
"UGA","Uganda","Africa","Africa","Africa","Eastern Africa","Eastern Africa","Sub-Sarahan Africa","South+E Africa","ALM","Sub-Saharan Africa (AFR)","Sub-Saharan Africa, East",24,"Southern and East Africa","LDC","other","LLDC"
"UKR","Ukraine","Europe","Eurasia","Europe","Eastern Europe","Ukraine+","FSU","Europe","REF","Newly Independent States of FSU (FSU)","Europe, Eastern",25,"Europe","other","other","other"
"ARE","United Arab Emirates","Asia","Eurasia","West Asia","Arabian Peninsula","Middle East","Middle East","West Asia","ALM","Middle East and North Africa (MEA)","North Africa/Middle East",30,"Middle East","other","other","other"
"GBR","United Kingdom","Europe","Eurasia","Europe","Western Europe","Western Europe","Europe","Europe","OECD90","Western Europe (WEU)","Europe, Western",13,"UK","other","other","other"
"TZA","United Republic of Tanzania","Africa","Africa","Africa","Southern Africa","Southern Africa","Sub-Sarahan Africa","South+E Africa","ALM","Sub-Saharan Africa (AFR)","Sub-Saharan Africa, East",24,"Southern and East Africa","LDC","other","other"
"UMI","United States Minor Outlying Islands","North America","North America","North America","US","USA","USA","North America","OECD90","North America (NAM)","North America, High Income",2,"US","other","other","other"
"USA","United States of America","North America","North America","North America","US","USA","USA","North America","OECD90","North America (NAM)","North America, High Income",2,"US","other","other","other"
"VIR","United States Virgin Islands","South America","South America","Latin America and the Caribbean","Caribbean","Rest Central America","Rest of Central Am","Caribbean","OECD90","North America (NAM)","Caribbean",28,"Caribbean","other","SID","other"
"URY","Uruguay","South America","South America","Latin America and the Caribbean","South America","Rest South America","Rest of South Am","South America","ALM","Latin America and the Caribbean (LAM)","Latin America, Southern",26,"South America","other","other","other"
"USG","US Naval Base Guantanamo Bay","North America","North America","North America","US","USA","USA","North America","OECD90","North America (NAM)","North America, High Income",2,"US","other","other","other"
"UZB","Uzbekistan","Asia","Eurasia","Asia and the Pacific","Central Asia","Asia-Stan","FSU","Central Asia","REF","Newly Independent States of FSU (FSU)","Asia, Central",21,"Rest of Central Asia","other","other","LLDC"
"VUT","Vanuatu","Australia","Australia","Asia and the Pacific","South Pacific","Oceania","Oceania","Australasia","ASIA","Other Pacific Asia (PAS)","Oceania",29,"Rest of Australasia","LDC","SID","other"
"VAT","Vatican","Europe","Eurasia","Europe","Western Europe","Western Europe","Europe","Europe","OECD90","Western Europe (WEU)","Europe, Western",15,"Italy","other","other","other"
"VEN","Venezuela","South America","South America","Latin America and the Caribbean","South America","Rest South America","Rest of South Am","South America","ALM","Latin America and the Caribbean (LAM)","Latin America, Central",26,"South America","other","other","other"
"VNM","Vietnam","Asia","Eurasia","Asia and the Pacific","Southeast Asia","Southeastern Asia","South East Asia","East Asia","ASIA","Centrally planned Asia and China (CPA)","Asia, Southeast",20,"Rest of East Asia","other","other","other"
"WLF","Wallis and Futuna","Australia","Australia","Asia and the Pacific","South Pacific","Oceania","Oceania","Australasia","ASIA","Other Pacific Asia (PAS)","Oceania",29,"Rest of Australasia","other","other","other"
"PSE","West Bank","Europe","Eurasia","Europe","Western Europe","Middle East","Europe","Europe","ALM","Middle East and North Africa (MEA)","Europe, Western",25,"Europe","other","other","other"
"SAH","Western Sahara","Africa","Africa","Africa","North Africa","Northern Africa","North Africa","North Africa","ALM","Middle East and North Africa (MEA)","North Africa/Middle East",22,"North Africa","other","other","other"
"YEM","Yemen","Asia","Eurasia","West Asia","Arabian Peninsula","Middle East","Middle East","West Asia","ALM","Middle East and North Africa (MEA)","North Africa/Middle East",30,"Middle East","LDC","other","other"
"ZMB","Zambia","Africa","Africa","Africa","Southern Africa","Southern Africa","Sub-Sarahan Africa","South+E Africa","ALM","Sub-Saharan Africa (AFR)","Sub-Saharan Africa, East",24,"Southern and East Africa","LDC","other","LLDC"
"ZWE","Zimbabwe","Africa","Africa","Africa","Southern Africa","Southern Africa","Sub-Sarahan Africa","South+E Africa","ALM","Sub-Saharan Africa (AFR)","Sub-Saharan Africa, Southern",24,"Southern and East Africa","other","other","LLDC"
"GUF","French Guiana","South America","South America","Latin America and the Caribbean","South America","Rest South America","Rest of South Am","South America","ALM","Latin America and the Caribbean (LAM)","Caribbean",26,"South America","other","other","other"
