SURVEY NAME,FILE TYPE,FILE NAME,FILE FORMAT
"Armenia DHS-IV, Standard DHS, 2000",Household Recode,AMHR42DT.ZIP,Stata dataset (.dta)
"Armenia DHS-IV, Standard DHS, 2000",Household Recode,AMHR42FL.ZIP,Flat ASCII data (.dat)
"Armenia DHS-IV, Standard DHS, 2000",Household Recode,AMHR42SD.ZIP,SAS dataset (.sas7bdat)
"Armenia DHS-IV, Standard DHS, 2000",Household Recode,AMHR42SV.ZIP,SPSS dataset (.sav)
"Armenia DHS-IV, Standard DHS, 2000",Individual Recode,AMIR42.ZIP,Hierarchical
"Armenia DHS-IV, Standard DHS, 2000",Individual Recode,AMIR42DT.ZIP,Stata dataset (.dta)
"Armenia DHS-IV, Standard DHS, 2000",Individual Recode,AMIR42FL.ZIP,Flat ASCII data (.dat)
"Armenia DHS-IV, Standard DHS, 2000",Individual Recode,AMIR42SD.ZIP,SAS dataset (.sas7bdat)
"Armenia DHS-IV, Standard DHS, 2000",Individual Recode,AMIR42SV.ZIP,SPSS dataset (.sav)
"Armenia DHS-IV, Standard DHS, 2000",Men's Recode,AMMR41.ZIP,Hierarchical
"Armenia DHS-IV, Standard DHS, 2000",Men's Recode,AMMR41DT.ZIP,Stata dataset (.dta)
"Armenia DHS-IV, Standard DHS, 2000",Men's Recode,AMMR41FL.ZIP,Flat ASCII data (.dat)
"Armenia DHS-IV, Standard DHS, 2000",Men's Recode,AMMR41SD.ZIP,SAS dataset (.sas7bdat)
"Armenia DHS-IV, Standard DHS, 2000",Men's Recode,AMMR41SV.ZIP,SPSS dataset (.sav)
"Armenia DHS-IV, Standard DHS, 2000",Wealth Index,AMWI42.ZIP,Hierarchical
"Armenia DHS-IV, Standard DHS, 2000",Wealth Index,AMWI42DT.ZIP,Stata dataset (.dta)
"Armenia DHS-IV, Standard DHS, 2000",Wealth Index,AMWI42FL.ZIP,Flat ASCII data (.dat)
"Armenia DHS-IV, Standard DHS, 2000",Wealth Index,AMWI42SD.ZIP,SAS dataset (.sas7bdat)
"Armenia DHS-IV, Standard DHS, 2000",Wealth Index,AMWI42SV.ZIP,SPSS dataset (.sav)
"Armenia DHS-V, Standard DHS, 2005",Births Recode,AMBR54DT.ZIP,Stata dataset (.dta)
"Armenia DHS-V, Standard DHS, 2005",Births Recode,AMBR54FL.ZIP,Flat ASCII data (.dat)
"Armenia DHS-V, Standard DHS, 2005",Births Recode,AMBR54SD.ZIP,SAS dataset (.sas7bdat)
"Armenia DHS-V, Standard DHS, 2005",Births Recode,AMBR54SV.ZIP,SPSS dataset (.sav)
"Armenia DHS-V, Standard DHS, 2005",Children's Recode,AMKR54DT.ZIP,Stata dataset (.dta)
"Armenia DHS-V, Standard DHS, 2005",Children's Recode,AMKR54FL.ZIP,Flat ASCII data (.dat)
"Armenia DHS-V, Standard DHS, 2005",Children's Recode,AMKR54SD.ZIP,SAS dataset (.sas7bdat)
"Armenia DHS-V, Standard DHS, 2005",Children's Recode,AMKR54SV.ZIP,SPSS dataset (.sav)
"Armenia DHS-V, Standard DHS, 2005",Couples' Recode,AMCR52DT.ZIP,Stata dataset (.dta)
"Armenia DHS-V, Standard DHS, 2005",Couples' Recode,AMCR52FL.ZIP,Flat ASCII data (.dat)
"Armenia DHS-V, Standard DHS, 2005",Couples' Recode,AMCR52SD.ZIP,SAS dataset (.sas7bdat)
"Armenia DHS-V, Standard DHS, 2005",Couples' Recode,AMCR52SV.ZIP,SPSS dataset (.sav)
"Armenia DHS-V, Standard DHS, 2005",Height and Weight Scores - WHO Child Growth Standards,AMHW52.ZIP,Hierarchical
"Armenia DHS-V, Standard DHS, 2005",Height and Weight Scores - WHO Child Growth Standards,AMHW52DT.ZIP,Stata dataset (.dta)
"Armenia DHS-V, Standard DHS, 2005",Height and Weight Scores - WHO Child Growth Standards,AMHW52FL.ZIP,Flat ASCII data (.dat)
"Armenia DHS-V, Standard DHS, 2005",Height and Weight Scores - WHO Child Growth Standards,AMHW52SD.ZIP,SAS dataset (.sas7bdat)
"Armenia DHS-V, Standard DHS, 2005",Height and Weight Scores - WHO Child Growth Standards,AMHW52SV.ZIP,SPSS dataset (.sav)
"Armenia DHS-V, Standard DHS, 2005",Household Member Recode,AMPR54DT.ZIP,Stata dataset (.dta)
"Armenia DHS-V, Standard DHS, 2005",Household Member Recode,AMPR54FL.ZIP,Flat ASCII data (.dat)
"Armenia DHS-V, Standard DHS, 2005",Household Member Recode,AMPR54SD.ZIP,SAS dataset (.sas7bdat)
